comparison,split,mean_diff_pp,ci_lo_pp,ci_hi_pp,significant
PretrainedTEA vs baseline,within,2.74,0.8,4.7,True
PretrainedTEA vs MLMPretrain (mechanism on top of backbone),within,2.3,0.7,3.9,True
PretrainedTEA vs TEA (backbone on top of mechanism),within,0.52,-1.0,2.1,False
TEA vs baseline (averaging alone),within,2.22,0.6,3.9,True
PretrainedTEA vs baseline,short,2.31,0.7,4.0,True
PretrainedTEA vs MLMPretrain (mechanism on top of backbone),short,0.0,-1.3,1.3,False
PretrainedTEA vs TEA (backbone on top of mechanism),short,0.67,-0.9,2.2,False
TEA vs baseline (averaging alone),short,1.63,0.1,3.2,True
PretrainedTEA vs baseline,long,3.08,1.2,5.1,True
PretrainedTEA vs MLMPretrain (mechanism on top of backbone),long,1.98,0.5,3.4,True
PretrainedTEA vs TEA (backbone on top of mechanism),long,0.66,-1.0,2.3,False
TEA vs baseline (averaging alone),long,2.43,0.6,4.3,True
